,attentive cat,img1,img2
72,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1504.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene508.jpg
73,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1892.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene266.jpg
74,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face49.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3493.jpg
75,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face3517.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1286.jpg
76,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face684.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3126.jpg
77,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1403.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1033.jpg
78,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2708.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene822.jpg
79,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1090.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3506.jpg
80,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3231.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene59.jpg
81,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3314.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene244.jpg
82,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1312.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene719.jpg
83,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face704.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3404.jpg
84,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face230.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3084.jpg
85,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face3535.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene45.jpg
86,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3128.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1897.jpg
87,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3396.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3520.jpg
88,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene259.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2299.jpg
89,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1264.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face637.jpg
90,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1203.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face0.jpg
91,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene2143.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face3572.jpg
92,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene481.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2310.jpg
93,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1385.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face328.jpg
94,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3116.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2667.jpg
95,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3318.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1374.jpg
96,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene1162.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2617.jpg
