,attentive cat,img1,img2
77,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene57.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3102.jpg
78,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene619.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2116.jpg
79,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1898.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1738.jpg
80,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3119.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2753.jpg
81,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene605.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face344.jpg
82,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1565.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face664.jpg
83,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene512.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3630.jpg
84,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3040.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2889.jpg
85,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1938.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face721.jpg
86,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1214.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3444.jpg
87,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3213.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2203.jpg
88,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face486.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene533.jpg
89,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3630.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3151.jpg
90,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1454.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3083.jpg
91,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face1857.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3521.jpg
92,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2716.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene89.jpg
93,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2096.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3585.jpg
94,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face711.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3562.jpg
95,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2289.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3127.jpg
96,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face339.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1231.jpg
97,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face71.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene869.jpg
98,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3105.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3528.jpg
