P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-31053.40625,14230.4443359375,23096.03125,1627.31396484375,26951.232421875,-6386.67578125,-58411.5703125,-52889.109375,20537.96484375,-440.04901123046875,10560.23828125,17300.22265625,-23606.11328125,44763.9765625,-400000.0625,20627.298828125,10845.0400390625,-30853.392578125,5389.15283203125,-16472.287109375,36892.6171875,16024.884765625,27387.517578125,-23178.513671875,-4059.85205078125,35436.55078125,-400000.0625,11436.712890625,37240.5859375,-25461.337890625,15553.2236328125,2457.535888671875,11180.113466365
-31075.05078125,14211.462890625,23068.23046875,1611.3690185546875,26925.75390625,-6414.10595703125,-58433.515625,-52915.51171875,20519.154296875,-469.71099853515625,10539.93359375,17300.810546875,-23569.265625,44787.5078125,-400000.0625,20617.861328125,10888.56640625,-30863.95703125,5412.41015625,-16498.671875,36883.12109375,16029.794921875,27413.65625,-23163.22265625,-4090.85791015625,35421.3359375,-400000.0625,11423.1748046875,37249.62890625,-25496.37109375,15572.68359375,2422.22705078125,11180.115466365
-31062.18359375,14215.4345703125,23122.05078125,1610.3060302734375,26943.68359375,-6387.15185546875,-58423.74609375,-52899.94921875,20543.171875,-406.8590087890625,10546.6376953125,17345.236328125,-23575.830078125,44798.33984375,-400000.0625,20633.42578125,10816.275390625,-30847.927734375,5440.7890625,-16482.740234375,36894.91015625,16049.5634765625,27373.3203125,-23130.138671875,-4064.407958984375,35435.10546875,-400000.0625,11440.4931640625,37270.3125,-25459.029296875,15580.498046875,2458.426025390625,11180.117466365
-31045.705078125,14226.015625,23164.314453125,1615.7159423828125,26965.466796875,-6357.3310546875,-58407.09375,-52877.8984375,20565.080078125,-356.4020080566406,10559.6025390625,17360.1640625,-23620.68359375,44774.5078125,-400000.0625,20642.43359375,10725.7509765625,-30837.525390625,5427.509765625,-16460.92578125,36902.609375,16049.5849609375,27316.646484375,-23132.255859375,-4032.0830078125,35448.16015625,-400000.0625,11453.8525390625,37265.55859375,-25420.595703125,15558.5712890625,2498.27490234375,11180.119466365
-31030.029296875,14242.7470703125,23179.603515625,1631.31494140625,26985.06640625,-6336.64501953125,-58389.91015625,-52858.47265625,20580.044921875,-337.96099853515625,10576.2666015625,17356.83203125,-23651.779296875,44754.84375,-400000.0625,20648.4453125,10703.103515625,-30829.466796875,5406.89111328125,-16441.6328125,36913.87109375,16046.80859375,27300.505859375,-23151.390625,-4009.616943359375,35460.11328125,-400000.0625,11463.4169921875,37257.30859375,-25399.212890625,15541.0322265625,2521.922119140625,11180.121466364999
-31041.171875,14239.0419921875,23143.140625,1631.427001953125,26971.705078125,-6356.7919921875,-58397.50390625,-52870.49609375,20563.015625,-381.489013671875,10569.8447265625,17324.341796875,-23654.8125,44742.125,-400000.0625,20634.181640625,10750.1728515625,-30843.169921875,5383.64794921875,-16455.90234375,36904.19921875,16029.8623046875,27324.974609375,-23180.69921875,-4030.113037109375,35449.0234375,-400000.0625,11448.505859375,37238.3359375,-25427.5546875,15528.966796875,2496.011962890625,11180.123466365
-31053.43359375,14229.5029296875,23123.322265625,1623.1920166015625,26957.24609375,-6371.17822265625,-58408.921875,-52882.515625,20549.14453125,-402.364990234375,10558.64453125,17316.126953125,-23633.3359375,44749.33984375,-400000.0625,20626.279296875,10790.2587890625,-30852.091796875,5386.77197265625,-16470.47265625,36895.6328125,16025.7744140625,27343.130859375,-23179.27734375,-4046.7470703125,35437.765625,-400000.0625,11438.5693359375,37235.60546875,-25445.6796875,15532.39453125,2477.64404296875,11180.125466365
-31040.44140625,14235.671875,23161.462890625,1625.197021484375,26975.66796875,-6346.203125,-58396.53515625,-52866.90234375,20566.951171875,-355.8580017089844,10567.5703125,17341.216796875,-23636.255859375,44751.5234375,-400000.0625,20636.2265625,10744.4365234375,-30840.6796875,5401.09716796875,-16454.384765625,36904.328125,16035.349609375,27315.8984375,-23161.951171875,-4020.887939453125,35449.234375,-400000.0625,11452.4560546875,37246.09375,-25411.56640625,15535.158203125,2510.155029296875,11180.127466365
-31036.115234375,14237.3388671875,23169.091796875,1625.0479736328125,26981.419921875,-6338.23486328125,-58392.73046875,-52860.96484375,20568.96484375,-347.25201416015625,10570.26171875,17332.7734375,-23663.939453125,44731.12109375,-400000.0625,20631.435546875,10704.349609375,-30844.322265625,5383.23779296875,-16450.353515625,36900.96484375,16024.396484375,27291.587890625,-23177.21875,-4011.157958984375,35448.38671875,-400000.0625,11450.287109375,37234.09375,-25400.9765625,15516.7421875,2521.15087890625,11180.129466365
-31047.302734375,14229.564453125,23133.65625,1622.2110595703125,26965.962890625,-6359.85693359375,-58403.4140625,-52875.88671875,20551.6015625,-389.79901123046875,10560.17578125,17304.37109375,-23662.7890625,44725.6171875,-400000.0625,20617.46875,10746.78515625,-30857.056640625,5365.8310546875,-16464.6875,36891.37109375,16010.8193359375,27317.38671875,-23195.390625,-4033.6240234375,35436.390625,-400000.0625,11436.16796875,37220.2734375,-25428.986328125,15511.05078125,2494.386962890625,11180.131466365
