P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-31550.3359375,14516.03515625,22119.412109375,2482.89794921875,25304.796875,-6471.1220703125,-59412.6171875,-56500.328125,22120.60546875,-3048.12890625,7755.119140625,18205.45703125,-25252.96875,44712.10546875,-330652.40625,18986.578125,10036.33984375,-34586.90234375,908.7550048828125,-5606.07080078125,37226.484375,16250.94140625,25936.71484375,-23383.916015625,-1939.6529541015625,35130.89453125,-373069.46875,15432.099609375,36203.328125,-37962.31640625,14849.91796875,-5363.3720703125,11059.177466365
-31546.373046875,14515.5732421875,22134.91015625,2482.3701171875,25307.408203125,-6467.16796875,-59411.71484375,-56499.15234375,22129.28515625,-3026.757080078125,7755.0849609375,18235.421875,-25213.029296875,44746.234375,-330653.03125,18999.267578125,10053.6748046875,-34577.203125,954.177001953125,-5607.40283203125,37239.71484375,16277.1171875,25957.3671875,-23344.529296875,-1936.9530029296875,35138.15625,-373069.0625,15443.7490234375,36232.2578125,-37958.56640625,14883.451171875,-5357.85107421875,11059.179466365
-31523.318359375,14532.021484375,22189.294921875,2492.77490234375,25335.017578125,-6431.19580078125,-59390.84765625,-56474.02734375,22157.509765625,-2965.681884765625,7774.208984375,18272.5234375,-25238.83984375,44750.015625,-330625.75,19021.796875,9965.076171875,-34554.25390625,965.0819702148438,-5583.3349609375,37252.4140625,16294.9267578125,25913.53125,-23320.1015625,-1899.501953125,35160.84765625,-373040.09375,15467.99609375,36250.76171875,-37915.6328125,14885.35546875,-5313.23681640625,11059.181466365
-31512.72265625,14542.5,22212.419921875,2499.50390625,25351.47265625,-6412.52880859375,-59379.23828125,-56458.7109375,22169.060546875,-2941.06201171875,7785.16015625,18276.150390625,-25280.060546875,44728.125,-330611.90625,19028.55078125,9908.2216796875,-34548.2109375,941.4520263671875,-5570.2177734375,37254.15234375,16290.470703125,25877.892578125,-23330.94921875,-1878.9830322265625,35169.69921875,-373023.5625,15475.845703125,36242.94140625,-37892.875,14864.6748046875,-5289.09521484375,11059.183466365
-31511.3359375,14548.9013671875,22199.259765625,2508.08203125,25352.57421875,-6415.48095703125,-59375.58203125,-56456.01171875,22165.212890625,-2957.885009765625,7788.89990234375,18258.294921875,-25296.486328125,44711.8828125,-330614.28125,19025.716796875,9918.8603515625,-34551.6640625,917.7130126953125,-5570.15283203125,37252.63671875,16280.1064453125,25881.03515625,-23351.759765625,-1879.9610595703125,35169.2890625,-373026.46875,15472.603515625,36228.77734375,-37899.10546875,14848.720703125,-5293.59521484375,11059.185466365
-31528.37109375,14537.2392578125,22160.736328125,2499.846923828125,25331.287109375,-6443.35498046875,-59390.68359375,-56474.2265625,22145.154296875,-3002.25390625,7776.14208984375,18232.404296875,-25279.91796875,44711.28125,-330639.75,19009.13671875,9976.3388671875,-34568.71875,908.2689819335938,-5593.43603515625,37244.22265625,16267.9951171875,25912.19921875,-23367.005859375,-1907.425048828125,35152.9453125,-373054.53125,15455.181640625,36217.20703125,-37932.921875,14845.2958984375,-5327.90576171875,11059.187466365
-31533.64453125,14530.0810546875,22170.39453125,2489.365966796875,25327.556640625,-6443.451171875,-59397.86328125,-56478.9296875,22145.373046875,-2986.64208984375,7769.3701171875,18244.806640625,-25268.27734375,44720.6328125,-330646.1875,19006.84765625,9971.322265625,-34571.078125,921.0989990234375,-5601.1171875,37240.2890625,16273.65234375,25911.17578125,-23350.966796875,-1907.9300537109375,35147.90625,-373058.875,15453.5712890625,36221.7109375,-37930.33984375,14850.9306640625,-5325.53076171875,11059.189466365
-31515.001953125,14543.51171875,22216.197265625,2497.6201171875,25351.427734375,-6412.68017578125,-59379.34765625,-56458.4375,22169.0,-2932.98388671875,7785.88720703125,18272.365234375,-25293.39453125,44717.609375,-330623.15625,19021.46875,9904.53125,-34554.890625,922.510986328125,-5580.93994140625,37246.22265625,16283.87890625,25875.158203125,-23337.427734375,-1874.7509765625,35162.42578125,-373031.6875,15469.2490234375,36229.6015625,-37891.3046875,14845.4189453125,-5284.19580078125,11059.191466365
-31509.1484375,14551.3671875,22218.544921875,2504.587890625,25359.330078125,-6404.7880859375,-59372.46875,-56450.76953125,22171.92578125,-2933.8359375,7792.31201171875,18262.11328125,-25319.064453125,44701.0546875,-330616.875,19021.533203125,9889.2451171875,-34554.09765625,900.4429931640625,-5575.58203125,37243.984375,16276.1572265625,25865.333984375,-23356.373046875,-1865.04296875,35164.48046875,-373026.90625,15469.916015625,36219.41015625,-37882.1953125,14831.9140625,-5275.08984375,11059.193466364999
-31510.509765625,14557.18359375,22193.93359375,2514.465087890625,25355.376953125,-6416.046875,-59370.05078125,-56452.18359375,22162.703125,-2969.222900390625,7794.58984375,18242.615234375,-25298.81640625,44706.44921875,-330625.78125,19018.6953125,9952.736328125,-34557.66796875,897.5670166015625,-5581.966796875,37245.57421875,16274.103515625,25904.478515625,-23366.52734375,-1876.5699462890625,35161.21484375,-373037.90625,15468.3203125,36218.73046875,-37900.02734375,14839.1416015625,-5291.9912109375,11059.195466365
-31531.822265625,14540.6337890625,22141.935546875,2502.637939453125,25325.23828125,-6455.22998046875,-59393.00390625,-56479.3359375,22133.880859375,-3031.5380859375,7775.24609375,18214.203125,-25261.955078125,44718.93359375,-330663.21875,19000.20703125,10033.0244140625,-34578.14453125,905.9110107421875,-5614.7041015625,37236.0390625,16265.8818359375,25950.95703125,-23375.486328125,-1918.762939453125,35139.19140625,-373077.78125,15448.005859375,36215.3515625,-37949.51953125,14851.1171875,-5340.3837890625,11059.197466365
