time stamp,marker
3205938.635147223,[180]
3205938.634315644,[180]
3205939.135519006,[181]
3205939.135315644,[181]
3205939.635838277,[182]
3205939.635315644,[182]
3205940.136174686,[183]
3205940.135315644,[183]
3205940.636506356,[184]
3205940.636315644,[184]
3205941.136881056,[185]
3205941.136315644,[185]
3205941.637122286,[186]
3205941.636315644,[186]
3205942.137629363,[187]
3205942.137315644,[187]
3205942.638160872,[188]
3205942.637315644,[188]
3205943.138922854,[189]
3205943.138315644,[189]
3205943.639683377,[190]
3205943.639315644,[190]
3205944.140413268,[191]
3205944.140315644,[191]
3205944.640877313,[192]
3205944.640315644,[192]
3205945.141154646,[193]
3205945.140315644,[193]
3205945.641298144,[194]
3205945.640315644,[194]
3205946.141694725,[195]
3205946.141315644,[195]
3205946.642401641,[196]
3205946.642315644,[196]
3205947.142693926,[197]
3205947.142315644,[197]
3205947.643452626,[198]
3205947.643315644,[198]
3205948.144253992,[199]
3205948.143315644,[199]
3205948.645257022,[200]
3205948.644315644,[200]
3205949.146058024,[201]
3205949.145315644,[201]
3205949.646987026,[202]
3205949.646315644,[202]
3205950.147446695,[203]
3205950.147315644,[203]
3205950.647915116,[204]
3205950.647315644,[204]
3205951.148130455,[205]
3205951.147315644,[205]
3205951.64874365,[206]
3205951.648315644,[206]
3205952.149454578,[207]
3205952.149315644,[207]
3205952.650147637,[208]
3205952.649315644,[208]
3205953.150906702,[209]
3205953.150315644,[209]
3205953.651218314,[210]
3205953.650315644,[210]
3205954.151739977,[211]
3205954.151315644,[211]
3205954.652465127,[212]
3205954.652315644,[212]
3205955.15319283,[213]
3205955.152315644,[213]
3205955.654147723,[214]
3205955.6533156442,[214]
3205956.154628908,[215]
3205956.154315644,[215]
3205956.65482346,[216]
3205956.654315644,[216]
3205957.155699949,[217]
3205957.155315644,[217]
3205957.656436769,[218]
3205957.656315644,[218]
3205958.156779013,[219]
3205958.156315644,[219]
3205958.657650397,[220]
3205958.657315644,[220]
3205959.157842397,[221]
3205959.157315644,[221]
3205959.658038408,[222]
3205959.657315644,[222]
3205960.158642851,[223]
3205960.158315644,[223]
3205960.659135706,[224]
3205960.658315644,[224]
3205961.15991191,[225]
3205961.159315644,[225]
3205961.660439043,[226]
3205961.660315644,[226]
3205962.16137862,[227]
3205962.161315644,[227]
3205962.661633708,[228]
3205962.661315644,[228]
3205963.162491963,[229]
3205963.162315644,[229]
3205963.663485877,[230]
3205963.663315644,[230]
3205964.163894491,[231]
3205964.163315644,[231]
3205964.664600314,[232]
3205964.664315644,[232]
3205965.164756211,[233]
3205965.164315644,[233]
3205965.664917214,[234]
3205965.664315644,[234]
3205966.165439971,[235]
3205966.165315644,[235]
3205966.666162204,[236]
3205966.665315644,[236]
3205967.166661622,[237]
3205967.166315644,[237]
3205967.666815331,[238]
3205967.666315644,[238]
3205968.166807491,[239]
3205968.166315644,[239]
3205968.666963388,[240]
3205968.666315644,[240]
3205969.167524436,[241]
3205969.167315644,[241]
3205969.667612869,[242]
3205969.667315644,[242]
3205970.167931045,[243]
3205970.167315644,[243]
3205970.668190509,[244]
3205970.667315644,[244]
3205971.168641061,[245]
3205971.168315644,[245]
3205971.669125163,[246]
3205971.668315644,[246]
3205972.16921396,[247]
3205972.168315644,[247]
3205972.669716296,[248]
3205972.669315644,[248]
3205973.170199669,[249]
3205973.169315644,[249]
3205973.670909138,[250]
3205973.6703156442,[250]
3205974.171770675,[251]
3205974.171315644,[251]
3205974.672387882,[252]
3205974.672315644,[252]
3205975.17294346,[253]
3205975.172315644,[253]
3205975.673022411,[254]
3205975.672315644,[254]
3205976.17373261,[255]
3205976.173315644,[255]
3205976.673725499,[256]
3205976.673315644,[256]
3205977.173742821,[257]
3205977.173315644,[257]
3205977.673876838,[258]
3205977.673315644,[258]
3205978.174103481,[259]
3205978.173315644,[259]
3205978.674575184,[260]
3205978.674315644,[260]
3205979.174748221,[261]
3205979.174315644,[261]
3205979.675194033,[262]
3205979.674315644,[262]
3205980.17546626,[263]
3205980.175315644,[263]
3205980.676123217,[264]
3205980.675315644,[264]
3205981.176701769,[265]
3205981.176315644,[265]
3205981.676861313,[266]
3205981.676315644,[266]
3205982.177526292,[267]
3205982.177315644,[267]
3205982.677887864,[268]
3205982.677315644,[268]
3205983.178677196,[269]
3205983.178315644,[269]
3205983.679215634,[270]
3205983.678315644,[270]
3205984.179251919,[271]
3205984.178315644,[271]
3205984.679962118,[272]
3205984.679315644,[272]
3205985.180822196,[273]
3205985.180315644,[273]
3205985.681616634,[274]
3205985.681315644,[274]
3205986.181659118,[275]
3205986.181315644,[275]
3205986.682133374,[276]
3205986.681315644,[276]
3205987.182225819,[277]
3205987.181315644,[277]
3205987.682529408,[278]
3205987.682315644,[278]
3205988.182838103,[279]
3205988.182315644,[279]
3205988.683167219,[280]
3205988.682315644,[280]
3205989.183522592,[281]
3205989.183315644,[281]
3205989.68438267,[282]
3205989.684315644,[282]
3205990.185092504,[283]
3205990.184315644,[283]
3205990.685659751,[284]
3205990.685315644,[284]
3205991.185660663,[285]
3205991.185315644,[285]
3205991.685815102,[286]
3205991.685315644,[286]
3205992.186272947,[287]
3205992.185315644,[287]
3205992.686451454,[288]
3205992.686315644,[288]
3205993.186980775,[289]
3205993.186315644,[289]
3205993.687485299,[290]
3205993.687315644,[290]
3205994.187890632,[291]
3205994.187315644,[291]
3205994.688590984,[292]
3205994.688315644,[292]
3205995.188875246,[293]
3205995.188315644,[293]
3205995.689878276,[294]
3205995.689315644,[294]
3205996.19075513,[295]
3205996.190315644,[295]
3205996.690835904,[296]
3205996.690315644,[296]
3205997.191462593,[297]
3205997.191315644,[297]
3205997.692280005,[298]
3205997.691315644,[298]
3205998.192504825,[299]
3205998.192315644,[299]
3205998.692903959,[300]
3205998.692315644,[300]
3205999.193270272,[301]
3205999.192315644,[301]
3205999.693560368,[302]
3205999.693315644,[302]
3206000.194173929,[303]
3206000.193315644,[303]
3206000.694661677,[304]
3206000.694315644,[304]
3206001.194996628,[305]
3206001.194315644,[305]
3206001.695719955,[306]
3206001.695315644,[306]
3206002.196051624,[307]
3206002.195315644,[307]
3206002.69674286,[308]
3206002.696315644,[308]
3206003.196975338,[309]
3206003.196315644,[309]
3206003.697236626,[310]
3206003.696315644,[310]
3206004.197723645,[311]
3206004.197315644,[311]
3206004.698638424,[312]
3206004.698315644,[312]
3206005.199560497,[313]
3206005.199315644,[313]
3206005.700170776,[314]
3206005.699315644,[314]
3206006.200377362,[315]
3206006.200315644,[315]
3206006.7009158,[316]
3206006.700315644,[316]
3206007.201185475,[317]
3206007.200315644,[317]
3206007.701279743,[318]
3206007.700315644,[318]
3206008.202244118,[319]
3206008.201315644,[319]
3206008.70257761,[320]
3206008.702315644,[320]
3206009.203338863,[321]
3206009.203315644,[321]
3206009.703717575,[322]
3206009.703315644,[322]
3206010.204638918,[323]
3206010.204315644,[323]
3206010.70547821,[324]
3206010.705315644,[324]
3206011.205596547,[325]
3206011.205315644,[325]
3206011.705654347,[326]
3206011.705315644,[326]
3206012.206477594,[327]
3206012.206315644,[327]
3206012.706469024,[328]
3206012.706315644,[328]
3206013.207279143,[329]
3206013.206315644,[329]
3206013.707309228,[330]
3206013.706315644,[330]
3206014.207836726,[331]
3206014.2073156442,[331]
3206014.708056805,[332]
3206014.7073156442,[332]
3206015.208737101,[333]
3206015.208315644,[333]
3206015.708988178,[334]
3206015.708315644,[334]
3206016.209922285,[335]
3206016.209315644,[335]
