P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-9468.1318359375,-11550.2158203125,-12912.6220703125,-12288.77734375,-20029.1640625,-20051.0078125,-20032.91796875,-9799.7236328125,-9170.6025390625,-9233.005859375,-11335.5419921875,-9500.8681640625,-20068.44140625,-20118.09375,-19992.75390625,-20067.19140625,-8383.55859375,-14134.2626953125,-15127.73828125,-10681.138671875,-10385.345703125,-10211.1806640625,-13641.69140625,-10417.029296875,-20011.84765625,-20118.8671875,-19986.216796875,-20001.28515625,-12546.19921875,-8334.9931640625,-12781.341796875,-11707.626953125,4767.6914663649995
-8857.8837890625,-10907.201171875,-12325.267578125,-11640.955078125,-19843.375,-19878.845703125,-19654.599609375,-9166.0751953125,-8530.0927734375,-8538.328125,-10698.314453125,-8867.5576171875,-19882.494140625,-19936.939453125,-19533.45703125,-19803.31640625,-7853.02587890625,-13563.35546875,-14713.2880859375,-10038.3115234375,-9746.09765625,-9584.4482421875,-13006.90625,-9808.37890625,-19824.5625,-19854.978515625,-19640.3046875,-19239.244140625,-11949.142578125,-7783.126953125,-12192.0673828125,-11066.2451171875,4767.693466365
-8562.4404296875,-10566.2626953125,-12106.1357421875,-11290.681640625,-19740.40625,-19686.453125,-19005.380859375,-8852.587890625,-8169.59521484375,-8050.06201171875,-10371.783203125,-8549.89453125,-19779.98046875,-19763.712890625,-18936.50390625,-19367.40625,-7763.4267578125,-13356.185546875,-14822.7412109375,-9694.40625,-9397.0302734375,-9262.0595703125,-12681.5419921875,-9543.427734375,-19720.45703125,-19317.09375,-19061.03515625,-18656.51953125,-11724.58984375,-7647.416015625,-11978.8134765625,-10730.7783203125,4767.695466364999
-9275.3642578125,-11290.630859375,-12836.6435546875,-12017.7001953125,-19949.18359375,-19930.90625,-19659.201171875,-9584.552734375,-8872.689453125,-8731.7568359375,-11099.703125,-9278.4296875,-19989.19921875,-20021.09765625,-19634.8125,-19875.783203125,-8523.791015625,-14076.4765625,-15574.7099609375,-10417.1943359375,-10110.857421875,-9975.26171875,-13407.5546875,-10273.1826171875,-19930.265625,-19849.25390625,-19670.55859375,-19455.78515625,-12470.7373046875,-8399.2900390625,-12727.4736328125,-11455.0029296875,4767.697466365
-10011.3720703125,-12073.041015625,-13502.7783203125,-12809.6826171875,-20178.025390625,-20219.689453125,-20262.484375,-10344.59765625,-9666.59765625,-9628.861328125,-11867.8173828125,-10038.9814453125,-20216.6484375,-20275.8359375,-20208.353515625,-20257.55078125,-9082.232421875,-14725.8798828125,-15938.2998046875,-11201.0751953125,-10900.189453125,-10730.939453125,-14175.3798828125,-10984.572265625,-20159.734375,-20333.728515625,-20205.640625,-20229.76953125,-13152.8505859375,-8996.494140625,-13399.6728515625,-12234.1796875,4767.699466364999
-9809.25390625,-11890.1318359375,-13260.3349609375,-12631.8984375,-20125.912109375,-20147.736328125,-20018.642578125,-10145.7333984375,-9503.27734375,-9538.251953125,-11677.2109375,-9841.9365234375,-20165.8359375,-20210.30078125,-19949.0390625,-20100.873046875,-8756.6318359375,-14479.0244140625,-15508.404296875,-11019.7509765625,-10725.3818359375,-10542.6240234375,-13985.419921875,-10760.43359375,-20108.173828125,-20150.435546875,-19985.375,-19903.912109375,-12904.0537109375,-8697.361328125,-13142.2001953125,-12049.451171875,4767.701466365
-9147.73046875,-11214.826171875,-12620.93359375,-11950.9326171875,-19930.83984375,-19931.822265625,-19620.021484375,-9470.40625,-8834.974609375,-8857.3896484375,-11003.306640625,-9167.85546875,-19970.4921875,-20001.490234375,-19543.451171875,-19809.681640625,-8114.02880859375,-13839.3505859375,-14907.9599609375,-10342.3076171875,-10050.5322265625,-9879.216796875,-13312.798828125,-10097.87890625,-19911.91015625,-19822.83984375,-19620.37109375,-19342.95703125,-12242.5400390625,-8052.4931640625,-12477.751953125,-11372.380859375,4767.703466365
-8569.5927734375,-10601.3720703125,-12112.46875,-11329.3603515625,-19752.56640625,-19741.376953125,-19341.33984375,-8873.39453125,-8211.3291015625,-8148.22412109375,-10402.8212890625,-8574.775390625,-19792.333984375,-19814.861328125,-19269.5390625,-19586.189453125,-7681.22021484375,-13332.6669921875,-14631.1298828125,-9725.58203125,-9431.8173828125,-9286.126953125,-12709.892578125,-9545.099609375,-19732.837890625,-19578.5703125,-19360.037109375,-19002.5078125,-11712.12890625,-7592.51708984375,-11954.3818359375,-10760.5,4767.705466365
-9042.0029296875,-11086.7001953125,-12600.7880859375,-11815.89453125,-19891.576171875,-19880.669921875,-19521.74609375,-9364.51171875,-8678.03515625,-8611.4775390625,-10888.9287109375,-9061.7578125,-19931.5625,-19955.642578125,-19460.552734375,-19747.232421875,-8183.337890625,-13815.7099609375,-15130.51171875,-10209.02734375,-9905.8173828125,-9765.35546875,-13197.09765625,-10034.658203125,-19872.3203125,-19739.921875,-19535.701171875,-19243.4296875,-12210.326171875,-8091.287109375,-12451.373046875,-11246.4443359375,4767.707466365
-9630.6396484375,-11708.986328125,-13117.458984375,-12447.25390625,-20072.724609375,-20075.26953125,-19867.119140625,-9972.5380859375,-9313.490234375,-9335.525390625,-11500.5126953125,-9664.3115234375,-20112.486328125,-20147.533203125,-19821.95703125,-20007.892578125,-8621.7861328125,-14329.6181640625,-15408.5439453125,-10835.6796875,-10536.4111328125,-10369.3291015625,-13808.8818359375,-10600.1015625,-20054.271484375,-20023.78125,-19854.849609375,-19748.0234375,-12746.828125,-8560.32421875,-12982.7666015625,-11867.7138671875,4767.709466365
